,Date,Latitude,Longitude,Bin_Number,Bin_value,bin_cate
87,2022-02-02,12.879037,80.077459,38,79,4
88,2022-02-02,12.878995,80.077695,39,69,4
89,2022-02-02,12.878911,80.077877,40,55,4
90,2022-02-02,12.879795,80.07505,41,32,5
91,2022-02-02,12.87969,80.075254,42,88,5
92,2022-02-02,12.880046,80.074761,43,76,5
93,2022-02-02,12.88037,80.075362,44,60,5
94,2022-02-02,12.880642,80.075008,45,100,5
95,2022-02-02,12.881113,80.075201,46,37,5
96,2022-02-02,12.880893,80.075544,47,68,5
97,2022-02-02,12.881018,80.075534,48,66,5
98,2022-02-02,12.879696,80.075132,49,36,5
99,2022-02-02,12.881133,80.075362,50,80,5
100,2022-02-03,12.879995,80.07858,1,67,1
101,2022-02-03,12.880075,80.078284,2,84,1
102,2022-02-03,12.880195,80.078042,3,75,1
103,2022-02-03,12.880242,80.077833,4,26,1
104,2022-02-03,12.880336,80.077602,5,41,1
105,2022-02-03,12.880424,80.077378,6,78,1
106,2022-02-03,12.880503,80.077136,7,75,1
107,2022-02-03,12.88043,80.076799,8,96,1
108,2022-02-03,12.880518,80.076922,9,42,1
109,2022-02-03,12.880215,80.076766,10,78,1
110,2022-02-03,12.880027,80.076831,11,41,2
111,2022-02-03,12.879985,80.076997,12,82,2
112,2022-02-03,12.879938,80.077174,13,59,2
113,2022-02-03,12.879901,80.077351,14,72,2
114,2022-02-03,12.879818,80.077496,15,75,2
115,2022-02-03,12.879781,80.077743,16,68,2
116,2022-02-03,12.879708,80.077904,17,62,2
117,2022-02-03,12.87965,80.07806,18,62,2
118,2022-02-03,12.879603,80.078264,19,58,2
119,2022-02-03,12.879512,80.078409,20,64,2
120,2022-02-03,12.881547,80.076461,21,67,3
121,2022-02-03,12.881715,80.075999,22,32,3
122,2022-02-03,12.881924,80.075602,23,94,3
123,2022-02-03,12.882101,80.075261,24,71,3
124,2022-02-03,12.882206,80.074756,25,75,3
125,2022-02-03,12.881861,80.074681,26,62,3
126,2022-02-03,12.881725,80.075046,27,50,3
127,2022-02-03,12.881536,80.075368,28,50,3
128,2022-02-03,12.881421,80.07583,29,76,3
129,2022-02-03,12.881264,80.076291,30,85,3
130,2022-02-03,12.879586,80.07653,31,64,4
131,2022-02-03,12.879356,80.076605,32,81,4
132,2022-02-03,12.879282,80.076814,33,39,4
133,2022-02-03,12.879481,80.076503,34,75,4
134,2022-02-03,12.879251,80.077018,35,42,4
135,2022-02-03,12.879193,80.077212,36,37,4
136,2022-02-03,12.879146,80.077357,37,46,4
137,2022-02-03,12.879037,80.077459,38,98,4
138,2022-02-03,12.878995,80.077695,39,70,4
139,2022-02-03,12.878911,80.077877,40,88,4
140,2022-02-03,12.879795,80.07505,41,53,5
141,2022-02-03,12.87969,80.075254,42,59,5
142,2022-02-03,12.880046,80.074761,43,73,5
143,2022-02-03,12.88037,80.075362,44,34,5
144,2022-02-03,12.880642,80.075008,45,54,5
145,2022-02-03,12.881113,80.075201,46,80,5
146,2022-02-03,12.880893,80.075544,47,94,5
147,2022-02-03,12.881018,80.075534,48,33,5
148,2022-02-03,12.879696,80.075132,49,35,5
149,2022-02-03,12.881133,80.075362,50,77,5
150,2022-02-04,12.879995,80.07858,1,54,1
151,2022-02-04,12.880075,80.078284,2,97,1
152,2022-02-04,12.880195,80.078042,3,90,1
153,2022-02-04,12.880242,80.077833,4,84,1
154,2022-02-04,12.880336,80.077602,5,37,1
155,2022-02-04,12.880424,80.077378,6,48,1
156,2022-02-04,12.880503,80.077136,7,93,1
157,2022-02-04,12.88043,80.076799,8,78,1
158,2022-02-04,12.880518,80.076922,9,84,1
159,2022-02-04,12.880215,80.076766,10,26,1
160,2022-02-04,12.880027,80.076831,11,57,2
161,2022-02-04,12.879985,80.076997,12,26,2
162,2022-02-04,12.879938,80.077174,13,32,2
163,2022-02-04,12.879901,80.077351,14,25,2
164,2022-02-04,12.879818,80.077496,15,40,2
165,2022-02-04,12.879781,80.077743,16,90,2
166,2022-02-04,12.879708,80.077904,17,33,2
167,2022-02-04,12.87965,80.07806,18,40,2
168,2022-02-04,12.879603,80.078264,19,78,2
169,2022-02-04,12.879512,80.078409,20,65,2
170,2022-02-04,12.881547,80.076461,21,32,3
171,2022-02-04,12.881715,80.075999,22,63,3
172,2022-02-04,12.881924,80.075602,23,50,3
173,2022-02-04,12.882101,80.075261,24,40,3
174,2022-02-04,12.882206,80.074756,25,70,3
175,2022-02-04,12.881861,80.074681,26,64,3
176,2022-02-04,12.881725,80.075046,27,40,3
177,2022-02-04,12.881536,80.075368,28,49,3
178,2022-02-04,12.881421,80.07583,29,58,3
179,2022-02-04,12.881264,80.076291,30,66,3
180,2022-02-04,12.879586,80.07653,31,44,4
181,2022-02-04,12.879356,80.076605,32,89,4
182,2022-02-04,12.879282,80.076814,33,93,4
183,2022-02-04,12.879481,80.076503,34,66,4
184,2022-02-04,12.879251,80.077018,35,76,4
185,2022-02-04,12.879193,80.077212,36,72,4
186,2022-02-04,12.879146,80.077357,37,52,4
187,2022-02-04,12.879037,80.077459,38,88,4
188,2022-02-04,12.878995,80.077695,39,52,4
189,2022-02-04,12.878911,80.077877,40,32,4
190,2022-02-04,12.879795,80.07505,41,71,5
191,2022-02-04,12.87969,80.075254,42,94,5
192,2022-02-04,12.880046,80.074761,43,73,5
193,2022-02-04,12.88037,80.075362,44,87,5
194,2022-02-04,12.880642,80.075008,45,76,5
195,2022-02-04,12.881113,80.075201,46,100,5
196,2022-02-04,12.880893,80.075544,47,94,5
197,2022-02-04,12.881018,80.075534,48,73,5
198,2022-02-04,12.879696,80.075132,49,39,5
199,2022-02-04,12.881133,80.075362,50,98,5
200,2022-02-05,12.879995,80.07858,1,25,1
201,2022-02-05,12.880075,80.078284,2,49,1
202,2022-02-05,12.880195,80.078042,3,41,1
203,2022-02-05,12.880242,80.077833,4,63,1
204,2022-02-05,12.880336,80.077602,5,80,1
205,2022-02-05,12.880424,80.077378,6,54,1
206,2022-02-05,12.880503,80.077136,7,25,1
207,2022-02-05,12.88043,80.076799,8,45,1
208,2022-02-05,12.880518,80.076922,9,93,1
209,2022-02-05,12.880215,80.076766,10,91,1
210,2022-02-05,12.880027,80.076831,11,52,2
211,2022-02-05,12.879985,80.076997,12,25,2
212,2022-02-05,12.879938,80.077174,13,97,2
213,2022-02-05,12.879901,80.077351,14,67,2
214,2022-02-05,12.879818,80.077496,15,78,2
215,2022-02-05,12.879781,80.077743,16,99,2
216,2022-02-05,12.879708,80.077904,17,95,2
217,2022-02-05,12.87965,80.07806,18,72,2
218,2022-02-05,12.879603,80.078264,19,48,2
219,2022-02-05,12.879512,80.078409,20,69,2
220,2022-02-05,12.881547,80.076461,21,90,3
221,2022-02-05,12.881715,80.075999,22,27,3
222,2022-02-05,12.881924,80.075602,23,34,3
223,2022-02-05,12.882101,80.075261,24,43,3
224,2022-02-05,12.882206,80.074756,25,84,3
225,2022-02-05,12.881861,80.074681,26,27,3
226,2022-02-05,12.881725,80.075046,27,29,3
227,2022-02-05,12.881536,80.075368,28,91,3
228,2022-02-05,12.881421,80.07583,29,36,3
229,2022-02-05,12.881264,80.076291,30,67,3
230,2022-02-05,12.879586,80.07653,31,57,4
231,2022-02-05,12.879356,80.076605,32,43,4
232,2022-02-05,12.879282,80.076814,33,38,4
233,2022-02-05,12.879481,80.076503,34,93,4
234,2022-02-05,12.879251,80.077018,35,65,4
235,2022-02-05,12.879193,80.077212,36,86,4
236,2022-02-05,12.879146,80.077357,37,47,4
237,2022-02-05,12.879037,80.077459,38,57,4
238,2022-02-05,12.878995,80.077695,39,59,4
239,2022-02-05,12.878911,80.077877,40,72,4
240,2022-02-05,12.879795,80.07505,41,70,5
241,2022-02-05,12.87969,80.075254,42,82,5
242,2022-02-05,12.880046,80.074761,43,50,5
243,2022-02-05,12.88037,80.075362,44,69,5
244,2022-02-05,12.880642,80.075008,45,32,5
245,2022-02-05,12.881113,80.075201,46,40,5
246,2022-02-05,12.880893,80.075544,47,33,5
247,2022-02-05,12.881018,80.075534,48,38,5
248,2022-02-05,12.879696,80.075132,49,100,5
249,2022-02-05,12.881133,80.075362,50,47,5
250,2022-02-06,12.879995,80.07858,1,56,1
251,2022-02-06,12.880075,80.078284,2,81,1
252,2022-02-06,12.880195,80.078042,3,66,1
253,2022-02-06,12.880242,80.077833,4,73,1
254,2022-02-06,12.880336,80.077602,5,43,1
255,2022-02-06,12.880424,80.077378,6,35,1
256,2022-02-06,12.880503,80.077136,7,50,1
257,2022-02-06,12.88043,80.076799,8,97,1
258,2022-02-06,12.880518,80.076922,9,99,1
259,2022-02-06,12.880215,80.076766,10,88,1
260,2022-02-06,12.880027,80.076831,11,92,2
261,2022-02-06,12.879985,80.076997,12,28,2
262,2022-02-06,12.879938,80.077174,13,64,2
263,2022-02-06,12.879901,80.077351,14,79,2
264,2022-02-06,12.879818,80.077496,15,73,2
265,2022-02-06,12.879781,80.077743,16,55,2
266,2022-02-06,12.879708,80.077904,17,61,2
267,2022-02-06,12.87965,80.07806,18,28,2
268,2022-02-06,12.879603,80.078264,19,48,2
269,2022-02-06,12.879512,80.078409,20,60,2
270,2022-02-06,12.881547,80.076461,21,63,3
271,2022-02-06,12.881715,80.075999,22,67,3
272,2022-02-06,12.881924,80.075602,23,63,3
273,2022-02-06,12.882101,80.075261,24,61,3
274,2022-02-06,12.882206,80.074756,25,40,3
275,2022-02-06,12.881861,80.074681,26,99,3
276,2022-02-06,12.881725,80.075046,27,53,3
277,2022-02-06,12.881536,80.075368,28,64,3
278,2022-02-06,12.881421,80.07583,29,81,3
279,2022-02-06,12.881264,80.076291,30,26,3
280,2022-02-06,12.879586,80.07653,31,68,4
281,2022-02-06,12.879356,80.076605,32,74,4
282,2022-02-06,12.879282,80.076814,33,95,4
283,2022-02-06,12.879481,80.076503,34,32,4
284,2022-02-06,12.879251,80.077018,35,39,4
285,2022-02-06,12.879193,80.077212,36,70,4
286,2022-02-06,12.879146,80.077357,37,51,4
287,2022-02-06,12.879037,80.077459,38,52,4
288,2022-02-06,12.878995,80.077695,39,90,4
289,2022-02-06,12.878911,80.077877,40,87,4
290,2022-02-06,12.879795,80.07505,41,50,5
291,2022-02-06,12.87969,80.075254,42,47,5
292,2022-02-06,12.880046,80.074761,43,45,5
293,2022-02-06,12.88037,80.075362,44,54,5
294,2022-02-06,12.880642,80.075008,45,57,5
295,2022-02-06,12.881113,80.075201,46,28,5
296,2022-02-06,12.880893,80.075544,47,85,5
297,2022-02-06,12.881018,80.075534,48,100,5
298,2022-02-06,12.879696,80.075132,49,85,5
299,2022-02-06,12.881133,80.075362,50,43,5
300,2022-02-07,12.879995,80.07858,1,91,1
301,2022-02-07,12.880075,80.078284,2,28,1
302,2022-02-07,12.880195,80.078042,3,61,1
303,2022-02-07,12.880242,80.077833,4,62,1
304,2022-02-07,12.880336,80.077602,5,70,1
305,2022-02-07,12.880424,80.077378,6,87,1
306,2022-02-07,12.880503,80.077136,7,60,1
307,2022-02-07,12.88043,80.076799,8,75,1
308,2022-02-07,12.880518,80.076922,9,94,1
309,2022-02-07,12.880215,80.076766,10,40,1
310,2022-02-07,12.880027,80.076831,11,74,2
311,2022-02-07,12.879985,80.076997,12,30,2
312,2022-02-07,12.879938,80.077174,13,65,2
313,2022-02-07,12.879901,80.077351,14,30,2
314,2022-02-07,12.879818,80.077496,15,92,2
315,2022-02-07,12.879781,80.077743,16,99,2
316,2022-02-07,12.879708,80.077904,17,39,2
317,2022-02-07,12.87965,80.07806,18,51,2
318,2022-02-07,12.879603,80.078264,19,98,2
319,2022-02-07,12.879512,80.078409,20,54,2
320,2022-02-07,12.881547,80.076461,21,41,3
321,2022-02-07,12.881715,80.075999,22,28,3
322,2022-02-07,12.881924,80.075602,23,68,3
323,2022-02-07,12.882101,80.075261,24,85,3
324,2022-02-07,12.882206,80.074756,25,98,3
325,2022-02-07,12.881861,80.074681,26,50,3
326,2022-02-07,12.881725,80.075046,27,52,3
327,2022-02-07,12.881536,80.075368,28,27,3
328,2022-02-07,12.881421,80.07583,29,55,3
329,2022-02-07,12.881264,80.076291,30,55,3
330,2022-02-07,12.879586,80.07653,31,32,4
331,2022-02-07,12.879356,80.076605,32,47,4
332,2022-02-07,12.879282,80.076814,33,84,4
333,2022-02-07,12.879481,80.076503,34,38,4
334,2022-02-07,12.879251,80.077018,35,79,4
335,2022-02-07,12.879193,80.077212,36,34,4
336,2022-02-07,12.879146,80.077357,37,88,4
337,2022-02-07,12.879037,80.077459,38,54,4
338,2022-02-07,12.878995,80.077695,39,49,4
339,2022-02-07,12.878911,80.077877,40,38,4
340,2022-02-07,12.879795,80.07505,41,90,5
341,2022-02-07,12.87969,80.075254,42,74,5
342,2022-02-07,12.880046,80.074761,43,79,5
343,2022-02-07,12.88037,80.075362,44,100,5
344,2022-02-07,12.880642,80.075008,45,47,5
345,2022-02-07,12.881113,80.075201,46,30,5
346,2022-02-07,12.880893,80.075544,47,55,5
347,2022-02-07,12.881018,80.075534,48,82,5
348,2022-02-07,12.879696,80.075132,49,96,5
349,2022-02-07,12.881133,80.075362,50,41,5
350,2022-02-08,12.879995,80.07858,1,77,1
351,2022-02-08,12.880075,80.078284,2,73,1
352,2022-02-08,12.880195,80.078042,3,77,1
353,2022-02-08,12.880242,80.077833,4,82,1
354,2022-02-08,12.880336,80.077602,5,42,1
355,2022-02-08,12.880424,80.077378,6,38,1
356,2022-02-08,12.880503,80.077136,7,58,1
357,2022-02-08,12.88043,80.076799,8,29,1
358,2022-02-08,12.880518,80.076922,9,84,1
359,2022-02-08,12.880215,80.076766,10,75,1
360,2022-02-08,12.880027,80.076831,11,83,2
361,2022-02-08,12.879985,80.076997,12,90,2
362,2022-02-08,12.879938,80.077174,13,79,2
363,2022-02-08,12.879901,80.077351,14,79,2
364,2022-02-08,12.879818,80.077496,15,39,2
365,2022-02-08,12.879781,80.077743,16,69,2
366,2022-02-08,12.879708,80.077904,17,38,2
367,2022-02-08,12.87965,80.07806,18,58,2
368,2022-02-08,12.879603,80.078264,19,54,2
369,2022-02-08,12.879512,80.078409,20,47,2
370,2022-02-08,12.881547,80.076461,21,89,3
371,2022-02-08,12.881715,80.075999,22,83,3
372,2022-02-08,12.881924,80.075602,23,82,3
373,2022-02-08,12.882101,80.075261,24,74,3
374,2022-02-08,12.882206,80.074756,25,82,3
375,2022-02-08,12.881861,80.074681,26,92,3
376,2022-02-08,12.881725,80.075046,27,94,3
377,2022-02-08,12.881536,80.075368,28,74,3
378,2022-02-08,12.881421,80.07583,29,85,3
379,2022-02-08,12.881264,80.076291,30,69,3
380,2022-02-08,12.879586,80.07653,31,82,4
381,2022-02-08,12.879356,80.076605,32,86,4
382,2022-02-08,12.879282,80.076814,33,64,4
383,2022-02-08,12.879481,80.076503,34,63,4
384,2022-02-08,12.879251,80.077018,35,38,4
385,2022-02-08,12.879193,80.077212,36,56,4
386,2022-02-08,12.879146,80.077357,37,62,4
387,2022-02-08,12.879037,80.077459,38,95,4
388,2022-02-08,12.878995,80.077695,39,85,4
389,2022-02-08,12.878911,80.077877,40,41,4
390,2022-02-08,12.879795,80.07505,41,99,5
391,2022-02-08,12.87969,80.075254,42,49,5
392,2022-02-08,12.880046,80.074761,43,55,5
393,2022-02-08,12.88037,80.075362,44,94,5
394,2022-02-08,12.880642,80.075008,45,90,5
395,2022-02-08,12.881113,80.075201,46,36,5
396,2022-02-08,12.880893,80.075544,47,50,5
397,2022-02-08,12.881018,80.075534,48,43,5
398,2022-02-08,12.879696,80.075132,49,42,5
399,2022-02-08,12.881133,80.075362,50,52,5
400,2022-02-09,12.879995,80.07858,1,41,1
401,2022-02-09,12.880075,80.078284,2,49,1
402,2022-02-09,12.880195,80.078042,3,87,1
403,2022-02-09,12.880242,80.077833,4,84,1
404,2022-02-09,12.880336,80.077602,5,90,1
405,2022-02-09,12.880424,80.077378,6,34,1
406,2022-02-09,12.880503,80.077136,7,76,1
407,2022-02-09,12.88043,80.076799,8,71,1
408,2022-02-09,12.880518,80.076922,9,39,1
409,2022-02-09,12.880215,80.076766,10,73,1
410,2022-02-09,12.880027,80.076831,11,88,2
411,2022-02-09,12.879985,80.076997,12,46,2
412,2022-02-09,12.879938,80.077174,13,39,2
413,2022-02-09,12.879901,80.077351,14,48,2
414,2022-02-09,12.879818,80.077496,15,82,2
415,2022-02-09,12.879781,80.077743,16,75,2
416,2022-02-09,12.879708,80.077904,17,73,2
417,2022-02-09,12.87965,80.07806,18,39,2
418,2022-02-09,12.879603,80.078264,19,62,2
419,2022-02-09,12.879512,80.078409,20,77,2
420,2022-02-09,12.881547,80.076461,21,50,3
421,2022-02-09,12.881715,80.075999,22,67,3
422,2022-02-09,12.881924,80.075602,23,47,3
423,2022-02-09,12.882101,80.075261,24,86,3
424,2022-02-09,12.882206,80.074756,25,31,3
425,2022-02-09,12.881861,80.074681,26,72,3
426,2022-02-09,12.881725,80.075046,27,93,3
427,2022-02-09,12.881536,80.075368,28,96,3
428,2022-02-09,12.881421,80.07583,29,64,3
429,2022-02-09,12.881264,80.076291,30,78,3
430,2022-02-09,12.879586,80.07653,31,92,4
431,2022-02-09,12.879356,80.076605,32,96,4
432,2022-02-09,12.879282,80.076814,33,26,4
433,2022-02-09,12.879481,80.076503,34,41,4
434,2022-02-09,12.879251,80.077018,35,81,4
435,2022-02-09,12.879193,80.077212,36,44,4
436,2022-02-09,12.879146,80.077357,37,87,4
437,2022-02-09,12.879037,80.077459,38,76,4
438,2022-02-09,12.878995,80.077695,39,88,4
439,2022-02-09,12.878911,80.077877,40,25,4
440,2022-02-09,12.879795,80.07505,41,40,5
441,2022-02-09,12.87969,80.075254,42,27,5
442,2022-02-09,12.880046,80.074761,43,59,5
443,2022-02-09,12.88037,80.075362,44,69,5
444,2022-02-09,12.880642,80.075008,45,96,5
445,2022-02-09,12.881113,80.075201,46,79,5
446,2022-02-09,12.880893,80.075544,47,77,5
447,2022-02-09,12.881018,80.075534,48,86,5
448,2022-02-09,12.879696,80.075132,49,48,5
449,2022-02-09,12.881133,80.075362,50,64,5
450,2022-02-10,12.879995,80.07858,1,100,1
451,2022-02-10,12.880075,80.078284,2,100,1
452,2022-02-10,12.880195,80.078042,3,40,1
453,2022-02-10,12.880242,80.077833,4,55,1
454,2022-02-10,12.880336,80.077602,5,33,1
455,2022-02-10,12.880424,80.077378,6,100,1
456,2022-02-10,12.880503,80.077136,7,61,1
457,2022-02-10,12.88043,80.076799,8,67,1
458,2022-02-10,12.880518,80.076922,9,41,1
459,2022-02-10,12.880215,80.076766,10,87,1
460,2022-02-10,12.880027,80.076831,11,81,2
461,2022-02-10,12.879985,80.076997,12,76,2
462,2022-02-10,12.879938,80.077174,13,61,2
463,2022-02-10,12.879901,80.077351,14,62,2
464,2022-02-10,12.879818,80.077496,15,68,2
465,2022-02-10,12.879781,80.077743,16,70,2
466,2022-02-10,12.879708,80.077904,17,41,2
467,2022-02-10,12.87965,80.07806,18,30,2
468,2022-02-10,12.879603,80.078264,19,90,2
469,2022-02-10,12.879512,80.078409,20,33,2
470,2022-02-10,12.881547,80.076461,21,55,3
471,2022-02-10,12.881715,80.075999,22,61,3
472,2022-02-10,12.881924,80.075602,23,38,3
473,2022-02-10,12.882101,80.075261,24,37,3
474,2022-02-10,12.882206,80.074756,25,95,3
475,2022-02-10,12.881861,80.074681,26,31,3
476,2022-02-10,12.881725,80.075046,27,32,3
477,2022-02-10,12.881536,80.075368,28,31,3
478,2022-02-10,12.881421,80.07583,29,85,3
479,2022-02-10,12.881264,80.076291,30,79,3
480,2022-02-10,12.879586,80.07653,31,29,4
481,2022-02-10,12.879356,80.076605,32,87,4
482,2022-02-10,12.879282,80.076814,33,54,4
483,2022-02-10,12.879481,80.076503,34,43,4
484,2022-02-10,12.879251,80.077018,35,50,4
485,2022-02-10,12.879193,80.077212,36,29,4
486,2022-02-10,12.879146,80.077357,37,43,4
487,2022-02-10,12.879037,80.077459,38,46,4
488,2022-02-10,12.878995,80.077695,39,82,4
489,2022-02-10,12.878911,80.077877,40,33,4
490,2022-02-10,12.879795,80.07505,41,48,5
491,2022-02-10,12.87969,80.075254,42,54,5
492,2022-02-10,12.880046,80.074761,43,94,5
493,2022-02-10,12.88037,80.075362,44,40,5
494,2022-02-10,12.880642,80.075008,45,43,5
495,2022-02-10,12.881113,80.075201,46,49,5
496,2022-02-10,12.880893,80.075544,47,68,5
497,2022-02-10,12.881018,80.075534,48,26,5
498,2022-02-10,12.879696,80.075132,49,28,5
499,2022-02-10,12.881133,80.075362,50,55,5
500,2022-02-11,12.879995,80.07858,1,85,1
501,2022-02-11,12.880075,80.078284,2,99,1
502,2022-02-11,12.880195,80.078042,3,89,1
503,2022-02-11,12.880242,80.077833,4,99,1
504,2022-02-11,12.880336,80.077602,5,92,1
505,2022-02-11,12.880424,80.077378,6,64,1
506,2022-02-11,12.880503,80.077136,7,48,1
507,2022-02-11,12.88043,80.076799,8,77,1
508,2022-02-11,12.880518,80.076922,9,59,1
509,2022-02-11,12.880215,80.076766,10,98,1
510,2022-02-11,12.880027,80.076831,11,93,2
511,2022-02-11,12.879985,80.076997,12,95,2
512,2022-02-11,12.879938,80.077174,13,92,2
513,2022-02-11,12.879901,80.077351,14,76,2
514,2022-02-11,12.879818,80.077496,15,99,2
515,2022-02-11,12.879781,80.077743,16,88,2
516,2022-02-11,12.879708,80.077904,17,64,2
517,2022-02-11,12.87965,80.07806,18,77,2
518,2022-02-11,12.879603,80.078264,19,82,2
519,2022-02-11,12.879512,80.078409,20,65,2
520,2022-02-11,12.881547,80.076461,21,29,3
521,2022-02-11,12.881715,80.075999,22,80,3
522,2022-02-11,12.881924,80.075602,23,57,3
523,2022-02-11,12.882101,80.075261,24,85,3
524,2022-02-11,12.882206,80.074756,25,27,3
525,2022-02-11,12.881861,80.074681,26,66,3
526,2022-02-11,12.881725,80.075046,27,51,3
527,2022-02-11,12.881536,80.075368,28,49,3
528,2022-02-11,12.881421,80.07583,29,94,3
529,2022-02-11,12.881264,80.076291,30,93,3
530,2022-02-11,12.879586,80.07653,31,67,4
531,2022-02-11,12.879356,80.076605,32,44,4
532,2022-02-11,12.879282,80.076814,33,65,4
533,2022-02-11,12.879481,80.076503,34,72,4
534,2022-02-11,12.879251,80.077018,35,64,4
535,2022-02-11,12.879193,80.077212,36,60,4
536,2022-02-11,12.879146,80.077357,37,73,4
537,2022-02-11,12.879037,80.077459,38,43,4
538,2022-02-11,12.878995,80.077695,39,27,4
539,2022-02-11,12.878911,80.077877,40,58,4
540,2022-02-11,12.879795,80.07505,41,54,5
541,2022-02-11,12.87969,80.075254,42,43,5
542,2022-02-11,12.880046,80.074761,43,61,5
543,2022-02-11,12.88037,80.075362,44,29,5
544,2022-02-11,12.880642,80.075008,45,56,5
545,2022-02-11,12.881113,80.075201,46,63,5
546,2022-02-11,12.880893,80.075544,47,51,5
547,2022-02-11,12.881018,80.075534,48,57,5
548,2022-02-11,12.879696,80.075132,49,75,5
549,2022-02-11,12.881133,80.075362,50,25,5
550,2022-02-12,12.879995,80.07858,1,77,1
551,2022-02-12,12.880075,80.078284,2,69,1
552,2022-02-12,12.880195,80.078042,3,57,1
553,2022-02-12,12.880242,80.077833,4,26,1
554,2022-02-12,12.880336,80.077602,5,33,1
555,2022-02-12,12.880424,80.077378,6,60,1
556,2022-02-12,12.880503,80.077136,7,94,1
